City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,8.05,scattered clouds
262,Touros,BR,-5.1989,-35.4608,80.42,76,20,12.28,few clouds
263,Ilulissat,GL,69.2167,-51.1,33.82,86,75,6.91,broken clouds
264,Kang,BW,-23.6752,22.7876,42.84,72,7,5.14,clear sky
265,Gasa,PS,31.5,34.4667,73.89,78,100,12.19,overcast clouds
266,Liku,ID,-0.7275,119.8922,74.55,96,99,1.95,overcast clouds
267,Peleduy,RU,59.6289,112.7406,46.31,84,100,2.26,overcast clouds
268,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,92,81,4.25,broken clouds
269,Zupanja,HR,45.0775,18.6975,73.38,67,90,4.03,overcast clouds
270,Mandalgovi,MN,45.7625,106.2708,56.82,59,72,10.16,broken clouds
271,Skelleftea,SE,64.7507,20.9528,57.56,38,21,6.91,few clouds
272,Bhawanipatna,IN,19.9,83.1667,83.95,55,89,5.66,overcast clouds
273,Saint Anthony,US,45.0205,-93.218,56.66,45,75,11.5,broken clouds
274,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,70,8,11.99,clear sky
275,Maceio,BR,-9.6658,-35.7353,78.24,88,75,9.22,mist
276,Aksu,CN,41.1231,80.2644,74.88,27,100,7.96,overcast clouds
277,Tautira,PF,-17.7333,-149.15,79.16,74,31,11.54,scattered clouds
278,Lagoa,PT,39.05,-27.9833,63.88,94,84,3.91,broken clouds
279,Olafsvik,IS,64.8945,-23.7142,43.3,81,79,19.01,broken clouds
280,Tsabong,BW,-26.0217,22.401,52.72,75,83,7.47,broken clouds
281,Chuy,UY,-33.6971,-53.4616,58.84,68,100,5.61,light rain
282,Paramonga,PE,-10.6667,-77.8333,68.59,76,19,10.4,few clouds
283,Moron,AR,-34.6534,-58.6198,71.29,45,0,2.13,clear sky
284,Lorengau,PG,-2.0226,147.2712,81.64,79,100,8.25,overcast clouds
285,Hithadhoo,MV,-0.6,73.0833,82.85,71,11,7.7,few clouds
286,Coulommiers,FR,48.8145,3.085,68.86,83,10,5.95,clear sky
287,Gizo,SB,-8.103,156.8419,81.63,76,20,6.53,few clouds
288,Sambava,MG,-14.2667,50.1667,75.42,84,99,10.31,light rain
289,Impfondo,CG,1.6381,18.0667,72.48,85,100,2.62,overcast clouds
290,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,89,75,13.8,broken clouds
291,Hasaki,JP,35.7333,140.8333,59.4,89,100,18.07,overcast clouds
292,Hargeysa,SO,9.56,44.065,76.82,28,54,7.9,broken clouds
